Authors,Country,PubID,Affiliation
JA,Mexico,1,Latin America
EGE,Mexico,1,Latin America
AL,Mexico,1,Latin America
LML,Mexico,1,Latin America
LAO,Mexico,1,Latin America
LB,Spain,2,Europe
RCB,Canada,2,North America
YBA,Brazil,4,Latin America
NH,Brazil,4,Latin America
SMD,Brazil,4,Latin America
ASM,Brazil,6,Latin America
CGF,Brazil,6,Latin America
OF,France,9,Latin America
JGW,Bolivia,9,Latin America
CH,Bolivia,9,Latin America
GS,Bolivia,9,Latin America
RM,Bolivia,9,Latin America
AR,USA,13,North America
CMP,USA,13,North America
