Authors,Country,PubID,Affiliation,year
LB,Spain,5,Europe,2004
JB,Spain,5,Europe,2004
IEMD,Argentina,6,Latin America,2004
MRM,Argentina,6,Latin America,2004
KMW,Germany,6,Europe,2004
DNFB,Brazil,8,Latin America,2004
DRFB,Brazil,8,Latin America,2004
JLN,Brazil,8,Latin America,2004
ME,Brazil,8,Latin America,2004
LNM,Brazil,10,Latin America,2004
MC,Brazil,10,Latin America,2004
AWR,USA,11,North America,2004
KRL,USA,11,North America,2004
CMP,USA,11,North America,2004
MRW,USA,11,North America,2004
RJB,USA,11,North America,2004
SF,Italy,15,Europe,2004
TBO,Italy,15,Europe,2004
MCC,Italy,15,Europe,2004
