main,coauthor,PubId,year
JMB,KDS,1,2019
JMB,MAT,1,2019
JMB,LJ,1,2019
CD,AEM,2,2019
CD,JZ,2,2019
CD,CPD,2,2019
FMC,JSFS,3,2019
FMC,KDS,3,2019
FMC,DSN,3,2019
FMC,DB,3,2019
FMC,NSP,3,2019
FMC,AABO,3,2019
FMC,PC,3,2019
FMC,RPB,3,2019
FMC,BO,3,2019
FMC,PMJ,3,2019
CWCB,JJFL,4,2019
CWCB,VLMG,4,2019
CWCB,DSF,4,2019
CWCB,TDSP,4,2019
CWCB,IFSF,4,2019
CWCB,EFAP,4,2019
CWCB,AWSG,4,2019
CWCB,ARG,4,2019
CWCB,BKS,4,2019
JDGT,JCDR,5,2019
JDGT,IM,5,2019
JDGT,SS,5,2019
RSR,AOM,6,2019
RSR,JFGJ,6,2019
RSR,MJF,6,2019
RSR,EPG,6,2019
RSR,VAAG,6,2019
RSR,AC,6,2019
RSR,JSDA,6,2019
GMS,MSS,7,2019
GMS,MC,7,2019
GMS,JCM,7,2019
VV,TPGM,8,2019
VV,JSRF,8,2019
EC,TS,11,2019
EC,ASM,11,2019
EC,MLB,11,2019
EC,VLL,11,2019
EC,FS,11,2019
LAC,LM,14,2019
LAC,GAP,14,2019
LAC,AL,14,2019
LAC,AS,14,2019
LAC,PHA,14,2019
BMB,ASG,15,2019
BMB,MMP,15,2019
BMB,CBK,15,2019
JOZ,MAPM,16,2019
JOZ,CARF,16,2019
JOZ,GLB,16,2019
JOZ,LC,16,2019
LMT,JM,18,2019
BTM,ATQ,20,2019
BTM,YTC,20,2019
BTM,FOR,20,2019
JSF,RS,21,2019
JSF,RMH,21,2019
JSF,MC,21,2019
LCR,PEGF,22,2019
LCR,AR,22,2019
MAP,AVIS,23,2019
AM,VCP,25,2019
AM,BRT,25,2019
DCG,JAC,28,2019
DCG,LAO,28,2019
MSL,WA,29,2019
MSL,RRCS,29,2019
MSL,RPL,29,2019
MSL,RMH,29,2019
MSL,MC,29,2019
RML,AMR,30,2019
FVA,SAE,31,2019
FVA,TLCC,31,2019
FVA,MAS,31,2019
EMS,RH,33,2019
CEC,FOR,34,2019
CEC,RMU,34,2019
CEC,WMS,34,2019
CEC,FSN,34,2019
CEC,KBG,34,2019
ADTJ,LPM,35,2019
ADTJ,PVS,35,2019
ADTJ,NYS,35,2019
ADTJ,DAT,35,2019
ADTJ,PAP,35,2019
ADTJ,BMG,35,2019
FB,DR,36,2019
FB,PEGF,36,2019
FB,SES,36,2019
