main ,coauthor,PubID,year
MLM,LAP,1,2000
JLC,SB,2,2000
JR,CC,5,2000
JAP,GR,7,2000
JAP,JJR,7,2000
JA,EGE,1,2001
JA,AL,1,2001
JA,LML,1,2001
JA,LAO,1,2001
LB,RCB,2,2001
YBA,NH,4,2001
YBA,SMD,4,2001
ASM,CGF,6,2001
OF,JGW,9,2001
OF,CH,9,2001
OF,GS,9,2001
OF,RM,9,2001
ASM,CGF,12,2001
AR,CMP,13,2001
LB,JB,1,2002
BHB,RB,2,2002
DFB,DFBP,3,2002
DFB,MPSL,3,2002
DFB,JLNS,3,2002
DFB,LFMD,3,2002
MENL,MAMC,10,2002
MENL,SCM,10,2002
BHB,DJ,1,2003
GCS,ARC,2,2003
GCS,AMDB,2,2003
SELM,RG,8,2003
RWS,MRW,9,2003
RWS,MJL,9,2003
AJPS,RACL,12,2003
AJPS,GVDV,12,2003
AJPS,RIMH,12,2003
AJPS,JGMR,12,2003
