"","abrev","country"
"1","LAPZ","Argentina"
"2","MLM","Argentina"
"3","CCR","Venezuela"
"4","JRN","Venezuela"
"5","GRL","Colombia"
"6","JAPO","Colombia"
"7","JJR","Colombia"
"8","JA","Mexico"
"9","EGE","Mexico"
"10","AL","Mexico"
"11","LML","Mexico"
"12","LAO","Mexico"
"13","LB","Spain"
"14","RCB","Canada"
"15","YBA","Brazil"
"16","NH","Brazil"
"17","SMD","Brazil"
"18","ASM","Brazil"
"19","CGF","Brazil"
"20","OF","France"
"21","JGW","Bolivia"
"22","CH","Bolivia"
"23","GS","Bolivia"
"24","RM","Bolivia"
"25","AR","USA"
"26","CMP","USA"
"27","JB","Spain"
"28","DFB","Brazil"
"29","DFBP","Brazil"
"30","MPSL","Brazil"
"31","JLNS","Brazil"
"32","LFMD","Brazil"
"33","JLD","Spain"
"34","BHB","Denmark"
"35","DJ","Denmark"
"36","RWS","USA"
"37","MRW","USA"
"38","MJL","USA"
"39","AJPS","Netherlands"
"40","RACL","Netherlands"
"41","GVDV","Netherlands"
"42","RIMH","Bolivia"
"43","JGMR","Netherlands"
"44","IEMD","Argentina"
"45","MRM","Argentina"
"46","KMW","Germany"
"47","DNFB","Brazil"
"48","DRFB","Brazil"
"49","JLN","Brazil"
"50","ME","Brazil"
"51","LNM","Brazil"
"52","MC","Brazil"
"53","AWR","USA"
"54","KRL","USA"
"55","RJB","USA"
"56","SF","Italy"
"57","TBO","Italy"
"58","MCC","Italy"
"59","TDS","Brazil"
"60","STS","Brazil"
"61","OFG","Argentina"
"62","RGMN","Brazil"
"63","SNN","Germany"
"64","MCG","Brazil"
"65","JEH","Canada"
"66","DDWS","Canada"
"67","DTRR","Canada"
"68","APN","Brazil"
"69","CTNT","Brazil"
"70","SMDF","Brazil"
"71","LMK","Brazil"
"72","JDA","USA"
"73","ASF","USA"
"74","SSGN","Venezuela"
"75","DCTP","Venezuela"
"76","ESKO","USA"
"77","GWK","USA"
"78","DAA","USA"
"79","KOWN","USA"
"80","KMWZ","Germany"
"81","RWGN","Germany"
"82","LMH","England"
"83","SLBL","Brazil"
"84","MPL","Brazil"
"85","STMA","Czech Republic"
"86","PATS","Bolivia"
"87","MTB","USA"
"88","DAL","USA"
"89","PATS","Spain"
"90","MCAP","Bolivia"
"91","PAVD","Bolivia"
"92","NMY","Bolivia"
"93","TOF","France"
"94","JCH","Colombia"
"95","DBA","Canada"
"96","TTLF","Scotland"
"97","LPG","Colombia"
"98","RCNM","Brazil"
"99","PGR","Brazil"
"100","NPNY","Brazil"
"101","WFP","Brazil"
