V1,V2,PubId
FPR,JDB,1
FPR,LBC,1
FPR,ASG,1
FPR,LJ,1
RC,LF,2
RC,CB,2
RC,JFC,2
RC,AC,2
RC,BC,2
RC,VJ,2
RC,JL,2
RC,TR,2
RC,VF,2
RC,CL,2
JM,DPA,3
JM,WAS,3
JM,MRW,3
JM,WKD,3
JM,CCG,3
JM,VNL,3
JM,DC,3
JM,JJC,3
TDR,HBF,4
TDR,LFS,4
TDR,CYM,4
TDR,MMC,4
KRF,MCA,5
KRF,CGC,5
KRF,DRM,5
KRF,MSL,5
KRF,NB,5
KRF,MC,5
AAS,HAW,6
AAS,JCH,6
AAS,ACE,6
AAS,ASF,6
AAS,WCF,6
AAS,JMG,6
AAS,BCK,6
AAS,NLP,6
AAS,SAT,6
AAS,KRZ,6
AAS,CKG,6
DCMP,PS,8
DCMP,RS,8
DCMP,MC,8
TPM,LLA,9
TPM,LJ,9
WZS,FPG,10
WZS,VRC,10
WZS,CIA,10
JDGT,VSS,11
JDGT,DKP,11
JDGT,IM,11
JDGT,SS,11
MGT,GRV,12
MGT,TMRP,12
MGT,LFMC,12
MGT,CTC,12
MGT,SL,12
EJIP,SMG,13
EJIP,MLG,13
EJIP,FR,13
EJIP,GFH,13
EJIP,ED,13
CF,KJM,15
CF,MPK,15
CF,FSM,15
CF,FW,15
CF,HS,15
AR,NMB,16
AR,AMR,16
AR,JFS,16
AMMS,GG,18
AMMS,LGD,18
AMMS,CACM,18
CARF,JH,19
CARF,JOZ,19
CARF,SF,19
CARF,MVC,19
CARF,LC,19
PEGF,AR,20
RE,PA,21
RE,SCF,21
RE,OD,21
RE,DJ,21
RE,VCP,21
APR,CETT,22
APR,NAR,22
ASGP,JJN,23
ASGP,SLC,23
ASGP,LIG,23
FQA,DSU,24
RNGG,KSJT,25
RNGG,EMOP,25
RNGG,VSR,25
RNGG,PAOS,25
RNGG,FARP,25
AMC,KS,26
AMC,CFA,26
AMC,KAC,26
AMC,LARC,26
AMC,LCM,26
AMC,LFL,26
RCGL,LMP,28
RCGL,LAVB,28
RCGL,JISB,28
LSB,ELL,29
LSB,ZAS,29
LSB,DRGRB,29
LSB,LJ,29
LASM,GRD,33
LASM,WRMS,33
LASM,LRCL,33
LFL,AYC,34
LFL,RGG,34
LFL,CA,34
