"","name","abrev","country","PubID","affiliation","year","country_study","Journal","Jour_country","Jour_continent"
"1","Pizzolon, LA","LAPZ","Argentina",1,"Latin America",2000,"Argentina","Archiv für Hydrobiologie","Germany","Europe"
"2","Miserendino, ML","MARLMIS","Argentina",1,"Latin America",2000,"Argentina","Archiv für Hydrobiologie","Germany","Europe"
"3","Cressa, C","CLACRE","Venezuela",5,"Latin America",2000,"Venezuela","Archiv für Hydrobiologie","Germany","Europe"
"4","Rincon, J","JRN","Venezuela",5,"Latin America",2000,"Venezuela","Archiv für Hydrobiologie","Germany","Europe"
"5","Roldan, G","GRL","Colombia",7,"Latin America",2000,"Colombia","REVISTA DE BIOLOGIA TROPICAL","Costa Rica","Latin America"
"6","Posada, JA","JAPO","Colombia",7,"Latin America",2000,"Colombia","REVISTA DE BIOLOGIA TROPICAL","Costa Rica","Latin America"
"7","Ramirez, JJ","JJR","Colombia",7,"Latin America",2000,"Colombia","REVISTA DE BIOLOGIA TROPICAL","Costa Rica","Latin America"
"8","Alcocer, J","JA","Mexico",1,"Latin America",2001,"Mexico","HYDROBIOLOGIA","Netherlands","Europe"
"9","Escobar, EG","ELVESC","Mexico",1,"Latin America",2001,"Mexico","HYDROBIOLOGIA","Netherlands","Europe"
"10","Lugo, A","ALFL","Mexico",1,"Latin America",2001,"Mexico","HYDROBIOLOGIA","Netherlands","Europe"
"11","Lozano, LM","LML","Mexico",1,"Latin America",2001,"Mexico","HYDROBIOLOGIA","Netherlands","Europe"
"12","Oseguera, LA","LAO","Mexico",1,"Latin America",2001,"Mexico","HYDROBIOLOGIA","Netherlands","Europe"
"13","Boyero, L","LUZBOY","Spain",2,"Europe",2001,"Panama","HYDROBIOLOGIA","Netherlands","Europe"
"14","Bailey, RC","RCB","Canada",2,"North America",2001,"Panama","HYDROBIOLOGIA","Netherlands","Europe"
"15","Alencar, YB","YBA","Brazil",4,"Latin America",2001,"Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ","Brazil","Latin America"
"16","Hamada, N","NH","Brazil",4,"Latin America",2001,"Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ","Brazil","Latin America"
"17","Magni-Darwich, S","SMD","Brazil",4,"Latin America",2001,"Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ","Brazil","Latin America"
"18","Melo, AS","ASM","Brazil",6,"Latin America",2001,"Brazil","FRESHWATER BIOLOGY","United Kingdom","Europe"
"19","Froehlich, CG","CGF","Brazil",6,"Latin America",2001,"Brazil","FRESHWATER BIOLOGY","United Kingdom","Europe"
"20","Fossati, O","OF","France",9,"Europe",2001,"Bolivia","ARCHIV FUR HYDROBIOLOGIE","Germany","Europe"
"21","Wasson, JG","JGW","Bolivia",9,"Latin America",2001,"Bolivia","ARCHIV FUR HYDROBIOLOGIE","Germany","Europe"
"22","Hery, C","CH","Bolivia",9,"Latin America",2001,"Bolivia","ARCHIV FUR HYDROBIOLOGIE","Germany","Europe"
"23","Salinas, G","GIOSL","Bolivia",9,"Latin America",2001,"Bolivia","ARCHIV FUR HYDROBIOLOGIE","Germany","Europe"
"24","Marin, R","RUBMAR","Bolivia",9,"Latin America",2001,"Bolivia","ARCHIV FUR HYDROBIOLOGIE","Germany","Europe"
"25","Melo, AS","ASM","Brazil",12,"Latin America",2001,"Brazil","JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY","USA","North America"
"26","Froehlich, CG","CGF","Brazil",12,"Latin America",2001,"Brazil","JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY","USA","North America"
"27","Ramirez, A","ALORAM","USA",13,"North America",2001,"Costa Rica","FRESHWATER BIOLOGY","United Kingdom","Europe"
"28","Pringle, CM","CMP","USA",13,"North America",2001,"Costa Rica","FRESHWATER BIOLOGY","United Kingdom","Europe"
"29","Boyero, L","LUZBOY","Spain",1,"Europe",2002,"Costa Rica","BIOTROPICA","United States","North America"
"30","Bosch, J","JB","Spain",1,"Europe",2002,"Costa Rica","BIOTROPICA","United States","North America"
"31","Buss, DF","DANFB","Brazil",5,"Latin America",2002,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"32","Baptista, DF","DFBP","Brazil",5,"Latin America",2002,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"33","Silveira, MP","MPSL","Brazil",5,"Latin America",2002,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"34","Nessimian, JL","JORLNEM","Brazil",5,"Latin America",2002,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"35","Dorville, LFM","LFMD","Brazil",5,"Latin America",2002,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"36","Boyero, L","LUZBOY","Spain",14,"Europe",2002,"Panama","Marine and Freshwater Research","Australia","Oceania"
"37","DeLope, JL","JLD","Spain",14,"Europe",2002,"Panama","Marine and Freshwater Research","Australia","Oceania"
"38","Bojsen, BH","BHB","Denmark",1,"Europe",2003,"Ecuador","Archiv fur Hydrobiologie","Germany","Europe"
"39","Jacobsen, D","DENJD","Denmark",1,"Europe",2003,"Ecuador","Archiv fur Hydrobiologie","Germany","Europe"
"40","Sites, RW","RWS","USA",9,"North America",2003,"Ecuador","BIOTROPICA","United States","North America"
"41","Willig, MR","MRW","USA",9,"North America",2003,"Ecuador","BIOTROPICA","United States","North America"
"42","Linit, MJ","MJL","USA",9,"North America",2003,"Ecuador","BIOTROPICA","United States","North America"
"43","Smolders, AJP","AJPS","Netherlands",12,"Europe",2003,"Bolivia","Archives of Environmental Contamination and Toxicology","United States","North America"
"44","Lock, RAC","RACL","Netherlands",12,"Europe",2003,"Bolivia","Archives of Environmental Contamination and Toxicology","United States","North America"
"45","Van der Velde, G","GVDV","Netherlands",12,"Europe",2003,"Bolivia","Archives of Environmental Contamination and Toxicology","United States","North America"
"46","Hoyos, RIM","RIMH","Bolivia",12,"Latin America",2003,"Bolivia","Archives of Environmental Contamination and Toxicology","United States","North America"
"47","Roelofs, JGM","JGMR","Netherlands",12,"Europe",2003,"Bolivia","Archives of Environmental Contamination and Toxicology","United States","North America"
"48","Boyero, L","LUZBOY","Spain",5,"Europe",2004,"Panama","HYDROBIOLOGIA","Netherlands","Europe"
"49","Bosch, J","JB","Spain",5,"Europe",2004,"Panama","HYDROBIOLOGIA","Netherlands","Europe"
"50","de Drago, IE","IEMD","Argentina",6,"Latin America",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"51","Marchese, M","MERMAR","Argentina",6,"Latin America",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"52","Wantzen, KM","KMW","Germany",6,"Europe",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"53","Buss, DF","DANFB","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"54","Baptista, DF","DRFB","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"55","Nessimian, JL","JORLNEM","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"56","Egler, M","ME","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
